doc_id,token,count
0,aerodynam,1.0
0,experiment,1.0
0,investig,1.0
0,slipstream,1.0
0,wing,1.0
1,flat,1.0
1,flow,1.0
1,fluid,1.0
1,incompress,1.0
1,past,1.0
1,plate,1.0
1,shear,1.0
1,simpl,1.0
1,small,1.0
1,viscos,1.0
2,boundari,1.0
2,flat,1.0
2,flow,1.0
2,layer,1.0
2,past,1.0
2,plate,1.0
2,shear,1.0
2,simpl,1.0
3,approxim,1.0
3,boundari,1.0
3,equat,1.0
3,flow,1.0
3,incompress,1.0
3,laminar,1.0
3,layer,1.0
3,plate,1.0
3,shear,1.0
3,solut,1.0
4,conduct,1.0
4,dimension,1.0
4,doubl,1.0
4,heat,2.0
4,input,1.0
4,intern,1.0
4,layer,1.0
4,linear,1.0
4,one,1.0
4,slab,1.0
4,small,1.0
4,subject,1.0
4,time,1.0
4,transient,1.0
5,dimension,1.0
5,flow,1.0
5,heat,1.0
5,multilay,1.0
5,one,1.0
5,slab,1.0
5,transient,1.0
6,boundari,1.0
6,control,1.0
6,dimension,1.0
6,effect,1.0
6,layer,1.0
6,rough,1.0
6,speed,1.0
6,superson,1.0
6,three,1.0
6,transit,1.0
7,boundari,1.0
7,dimension,2.0
7,effect,1.0
7,element,1.0
7,layer,1.0
7,measur,1.0
7,rough,1.0
7,three,1.0
7,transit,1.0
7,two,1.0
8,flat,1.0
8,friction,1.0
8,insul,1.0
8,mach,1.0
8,measur,1.0
8,number,1.0
8,plate,1.0
8,skin,1.0
8,studi,1.0
8,transit,1.0
9,impact,1.0
9,low,1.0
9,pressur,1.0
9,theori,1.0
9,tube,1.0
10,compress,1.0
10,free,1.0
10,laminar,1.0
10,mix,1.0
10,problem,1.0
10,similar,1.0
10,solut,1.0
11,aerelast,1.0
11,consider,1.0
11,flight,1.0
11,high,1.0
11,speed,1.0
11,structur,1.0
12,heat,1.0
12,law,1.0
12,similar,1.0
12,stress,1.0
12,wing,1.0
13,aerodynam,1.0
13,aeroelastician,1.0
13,new,1.0
13,piston,1.0
13,theori,1.0
13,tool,1.0
14,dimension,1.0
14,flutter,1.0
14,panel,1.0
14,two,1.0
15,boundari,1.0
15,compress,1.0
15,layer,1.0
15,transform,1.0
15,turbul,1.0
16,compress,1.0
16,eddi,1.0
16,flow,1.0
16,mix,1.0
16,remark,1.0
16,viscos,1.0
17,compressor,1.0
17,diffus,1.0
17,field,1.0
17,flow,1.0
17,radial,1.0
18,bodi,1.0
18,conic,1.0
18,distribut,1.0
18,flow,1.0
18,hyperson,1.0
18,investig,1.0
18,pressur,1.0
19,generalis,1.0
19,newtonian,1.0
19,theori,1.0
20,flow,1.0
20,heat,1.0
20,slip,1.0
20,transfer,1.0
21,flat,1.0
21,flow,1.0
21,heat,1.0
21,plate,1.0
21,slip,1.0
21,transfer,1.0
22,axial,1.0
22,boundari,1.0
22,characterist,1.0
22,cylind,1.0
22,flow,1.0
22,friction,1.0
22,heat,1.0
22,incompress,1.0
22,laminar,1.0
22,layer,1.0
22,skin,1.0
22,transfer,1.0
23,air,1.0
23,dissoci,1.0
23,heat,1.0
23,point,1.0
23,stagnat,1.0
23,theori,1.0
23,transfer,1.0
24,blunt,1.0
24,bodi,1.0
24,flow,1.0
24,hyperson,1.0
24,inviscid,1.0
24,nose,1.0
24,slender,1.0
25,edg,1.0
25,effect,1.0
25,flow,1.0
25,hyperson,1.0
25,inviscid,1.0
25,lead,1.0
26,bodi,1.0
26,flow,1.0
26,newtonian,1.0
26,slender,1.0
26,theori,1.0
27,applic,1.0
27,explos,1.0
27,flow,1.0
27,hyperson,1.0
27,newtonian,1.0
27,note,1.0
27,sedov,1.0
27,solut,1.0
27,theori,1.0
27,unsteadi,1.0
28,aerodynam,1.0
28,distribut,1.0
28,due,1.0
28,heat,1.0
28,model,1.0
28,simpl,1.0
28,stress,1.0
28,studi,1.0
28,temperatur,1.0
28,thermal,1.0
28,transient,1.0
29,investig,1.0
29,multiweb,1.0
